Name,Age,Nationality,Overall,Potential,Club
K. Strootman,27,Netherlands,84,85,Roma
Pedro,29,Spain,84,84,Chelsea
R. Bürki,26,Switzerland,84,86,Borussia Dortmund
Bruno,33,Spain,84,84,Villarreal CF
I. Perišić,28,Croatia,84,84,Inter
E. Džeko,31,Bosnia Herzegovina,84,84,Roma
Willian,28,Brazil,84,84,Chelsea
S. Khedira,30,Germany,84,84,Juventus
R. Fährmann,28,Germany,84,85,FC Schalke 04
Sergio Asenjo,28,Spain,84,85,Villarreal CF
Juan Mata,29,Spain,84,84,Manchester United
M. Benatia,30,Morocco,84,84,Juventus
D. Payet,30,France,84,84,Olympique de Marseille
Falcao,31,Colombia,84,84,AS Monaco
L. Koscielny,31,France,84,84,Arsenal
G. Cahill,31,England,84,84,Chelsea
Dani Alves,34,Brazil,84,84,Paris Saint-Germain
A. Gómez,29,Argentina,84,84,Atalanta
Aduriz,36,Spain,84,84,Athletic Club de Bilbao
K. Mbappé,18,France,83,94,Paris Saint-Germain
O. Dembélé,20,France,83,92,FC Barcelona
N. Keïta,22,Guinea,83,88,RB Leipzig
J. Giménez,22,Uruguay,83,87,Atlético Madrid
G. Rulli,25,Argentina,83,89,Real Sociedad
T. Lemar,21,France,83,91,AS Monaco
João Mário,24,Portugal,83,88,Inter
N. Süle,21,Germany,83,89,FC Bayern Munich
Ederson,23,Brazil,83,89,Manchester City
Fabinho,23,Brazil,83,88,AS Monaco
M. Salah,25,Egypt,83,86,Liverpool
A. Belotti,23,Italy,83,90,Torino
E. Forsberg,25,Sweden,83,85,RB Leipzig
Marquinhos,23,Brazil,83,89,Paris Saint-Germain
William Carvalho,25,Portugal,83,86,Sporting CP
S. Umtiti,23,France,83,88,FC Barcelona
R. Mahrez,26,Algeria,83,84,Leicester City
V. van Dijk,25,Netherlands,83,86,Southampton
Roberto Firmino,25,Brazil,83,87,Liverpool
Danilo Pereira,25,Portugal,83,86,FC Porto
Vitolo,27,Spain,83,83,UD Las Palmas
A. Lopes,26,Portugal,83,86,Olympique Lyonnais
S. de Vrij,25,Netherlands,83,88,Lazio
M. Perin,24,Italy,83,88,Genoa
J. Matip,25,Cameroon,83,85,Liverpool
I. Gueye,27,Senegal,83,84,Everton
Iago Aspas,29,Spain,83,83,RC Celta de Vigo
N. Otamendi,29,Argentina,83,83,Manchester City
N. Matić,28,Serbia,83,83,Manchester United
J. Pastore,28,Argentina,83,83,Paris Saint-Germain
Parejo,28,Spain,83,83,Valencia CF
S. Kagawa,28,Japan,83,83,Borussia Dortmund
G. Bonaventura,27,Italy,83,83,Milan
B. Dost,28,Netherlands,83,83,Sporting CP
K. Walker,27,England,83,84,Manchester City
Oscar,25,Brazil,83,86,
S. N'Zonzi,28,France,83,83,Sevilla FC
M. Musacchio,26,Argentina,83,86,Milan
O. Toprak,27,Turkey,83,84,Borussia Dortmund
José Callejón,30,Spain,83,83,Napoli
Adrien Silva,28,Portugal,83,83,
S. Giovinco,30,Italy,83,83,Toronto FC
N. Gaitán,29,Argentina,83,83,Atlético Madrid
M. Mandžukić,31,Croatia,83,83,Juventus
A. Lallana,29,England,83,83,Liverpool
B. Höwedes,29,Germany,83,83,Juventus
E. Banega,29,Argentina,83,83,Sevilla FC
Rui Patrício,29,Portugal,83,83,Sporting CP
Y. Sommer,28,Switzerland,83,84,Borussia Mönchengladbach
M. Schneiderlin,27,France,83,85,Everton
Jonas,33,Brazil,83,83,SL Benfica
K. Gameiro,30,France,83,83,Atlético Madrid
L. Piszczek,32,Poland,83,83,Borussia Dortmund
E. Garay,30,Argentina,83,83,Valencia CF
A. Valencia,31,Ecuador,83,83,Manchester United
K. Schmeichel,30,Denmark,83,84,Leicester City
M. Dembélé,29,Belgium,83,83,Tottenham Hotspur
Borja Valero,32,Spain,83,83,Inter
L. Perrin,31,France,83,83,AS Saint-Étienne
L. Biglia,31,Argentina,83,83,Milan
Juanfran,32,Spain,83,83,Atlético Madrid
Diego López,35,Spain,83,83,RCD Espanyol
Santi Cazorla,32,Spain,83,83,Arsenal
J. Mascherano,33,Argentina,83,83,FC Barcelona
W. Sneijder,33,Netherlands,83,83,OGC Nice
Nani,30,Portugal,83,83,Lazio
D. De Rossi,33,Italy,83,83,Roma
José Reina,34,Spain,83,83,Napoli
Quaresma,33,Portugal,83,83,Beşiktaş JK
Y. Touré,34,Ivory Coast,83,83,Manchester City
Casillas,36,Spain,83,83,FC Porto
G. Donnarumma,18,Italy,82,94,Milan
L. Sané,21,Germany,82,91,Manchester City
T. Bakayoko,22,France,82,88,Chelsea
C. Tolisso,22,France,82,89,FC Bayern Munich
I. Slimani,29,Algeria,82,82,Leicester City
N. Fekir,23,France,82,85,Olympique Lyonnais
J. Seri,25,Ivory Coast,82,83,OGC Nice
K. Baldé Diao,22,Senegal,82,90,AS Monaco
J. Tah,21,Germany,82,88,Bayer 04 Leverkusen
F. Bernardeschi,23,Italy,82,88,Juventus
T. Werner,21,Germany,82,87,RB Leipzig
André Gomes,23,Portugal,82,88,FC Barcelona
A. Martial,21,France,82,90,Manchester United
L. Goretzka,22,Germany,82,88,FC Schalke 04
Q. Promes,25,Netherlands,82,85,Spartak Moscow
Lucas Vázquez,26,Spain,82,83,Real Madrid CF
Saúl,22,Spain,82,90,Atlético Madrid
Felipe,28,Brazil,82,82,FC Porto
C. Bacca,30,Colombia,82,82,Villarreal CF
F. Vázquez,28,Italy,82,82,Sevilla FC
M. Kovačić,23,Croatia,82,88,Real Madrid CF
Sergio Rico,23,Spain,82,87,Sevilla FC
Manu Trigueros,25,Spain,82,85,Villarreal CF
A. Rüdiger,24,Germany,82,86,Chelsea
F. Thauvin,24,France,82,85,Olympique de Marseille
S. Savić,26,Montenegro,82,86,Atlético Madrid
Iñigo Martínez,26,Spain,82,86,Real Sociedad
Roque Mesa,28,Spain,82,82,Swansea City
A. Florenzi,26,Italy,82,84,Roma
D. Klaassen,24,Netherlands,82,85,Everton
K. Bellarabi,27,Germany,82,82,Bayer 04 Leverkusen
R. Sterling,22,England,82,87,Manchester City
Suso,23,Spain,82,87,Milan
Deulofeu,23,Spain,82,89,FC Barcelona
E. Dier,23,England,82,87,Tottenham Hotspur
M. Rojo,27,Argentina,82,83,Manchester United
Lucas,24,Brazil,82,85,Paris Saint-Germain
H. Son,24,Korea Republic,82,85,Tottenham Hotspur
F. Acerbi,29,Italy,82,82,Sassuolo
G. Xhaka,24,Switzerland,82,85,Arsenal
Jonathan Viera,27,Spain,82,82,UD Las Palmas
Pizzi,27,Portugal,82,82,SL Benfica
Willian José,25,Brazil,82,86,Real Sociedad
O. Baumann,27,Germany,82,84,TSG 1899 Hoffenheim
G. Medel,29,Chile,82,82,Beşiktaş JK
Víctor Ruíz,28,Spain,82,83,Villarreal CF
X. Shaqiri,25,Switzerland,82,85,Stoke City
J. Cuadrado,29,Colombia,82,82,Juventus
C. Immobile,27,Italy,82,83,Lazio
Douglas Costa,26,Brazil,82,82,Juventus
N. Clyne,26,England,82,84,Liverpool
Iborra,29,Spain,82,82,Leicester City
K. Trapp,26,Germany,82,84,Paris Saint-Germain
V. Wanyama,26,Kenya,82,85,Tottenham Hotspur
Taison,29,Brazil,82,82,Shakhtar Donetsk
Marlos,29,Brazil,82,82,Shakhtar Donetsk
L. Stindl,28,Germany,82,82,Borussia Mönchengladbach
M. Balotelli,26,Italy,82,82,OGC Nice
A. Ramsey,26,Wales,82,83,Arsenal
W. Szczęsny,27,Poland,82,84,Juventus
G. Sigurðsson,27,Iceland,82,82,Everton
Y. Brahimi,27,Algeria,82,82,FC Porto
M. Arnautović,28,Austria,82,82,West Ham United
J. Henderson,27,England,82,84,Liverpool
M. Kruse,29,Germany,82,82,SV Werder Bremen
O. Karnezis,31,Greece,82,82,Watford
L. Fejsa,28,Serbia,82,82,SL Benfica
F. Muslera,31,Uruguay,82,82,Galatasaray SK
V. Ćorluka,31,Croatia,82,82,Lokomotiv Moscow
G. Wijnaldum,26,Netherlands,82,85,Liverpool
F. Fazio,30,Argentina,82,82,Roma
O. Giroud,30,France,82,82,Arsenal
B. Ivanović,33,Serbia,82,82,Zenit St. Petersburg
J. Hernández,29,Mexico,82,82,West Ham United
Beñat,30,Spain,82,82,Athletic Club de Bilbao
L. Bender,28,Germany,82,83,Bayer 04 Leverkusen
A. Witsel,28,Belgium,82,82,
C. Bravo,34,Chile,82,82,Manchester City
A. Begović,30,Bosnia Herzegovina,82,82,Bournemouth
Naldo,34,Brazil,82,82,FC Schalke 04
D. Sturridge,27,England,82,82,Liverpool
D. Rose,26,England,82,83,Tottenham Hotspur
C. Vela,28,Mexico,82,82,Real Sociedad
E. Viviano,31,Italy,82,82,Sampdoria
G. Castro,30,Germany,82,82,Borussia Dortmund
S. Nasri,30,France,82,82,Antalyaspor
A. Williams,32,Wales,82,82,Everton
S. Mandanda,32,France,82,82,Olympique de Marseille
L. Baines,32,England,82,82,Everton
A. Consigli,30,Italy,82,82,Sassuolo
João Moutinho,30,Portugal,82,82,AS Monaco
B. Costil,29,France,82,82,Girondins de Bordeaux
Raúl Albiol,31,Spain,82,82,Napoli
J. Hart,30,England,82,82,West Ham United
M. Gómez,31,Germany,82,82,VfL Wolfsburg
Raffael,32,Brazil,82,82,Borussia Mönchengladbach
A. Turan,30,Turkey,82,82,FC Barcelona
Fernandinho,32,Brazil,82,82,Manchester City
David Villa,35,Spain,82,82,New York City Football Club
S. Lichtsteiner,33,Switzerland,82,82,Juventus
R. Jarstein,32,Norway,82,82,Hertha BSC Berlin
Gabriel Jesus,20,Brazil,81,92,Manchester City
Nélson Semedo,23,Portugal,81,87,FC Barcelona
Gelson Martins,22,Portugal,81,88,Sporting CP
Malcom,20,Brazil,81,87,Girondins de Bordeaux
J. Weigl,21,Germany,81,87,Borussia Dortmund
D. Sánchez,21,Colombia,81,88,Tottenham Hotspur
A. Kramarić,26,Croatia,81,83,TSG 1899 Hoffenheim
M. Brozović,24,Croatia,81,85,Inter
Williams,23,Spain,81,87,Athletic Club de Bilbao
Dani García,27,Spain,81,82,SD Eibar
A. Christensen,21,Denmark,81,89,Chelsea
J. Kimmich,22,Germany,81,87,FC Bayern Munich
Bruma,22,Portugal,81,86,RB Leipzig
D. Berardi,22,Italy,81,87,Sassuolo
M. Sanson,22,France,81,87,Olympique de Marseille
A. Rabiot,22,France,81,86,Paris Saint-Germain
R. Guerreiro,23,Portugal,81,86,Borussia Dortmund
J. Vardy,30,England,81,81,Leicester City
H. Ziyech,24,Morocco,81,85,Ajax
M. Keane,24,England,81,87,Everton
Jorginho,25,Italy,81,84,Napoli
Héctor Bellerín,22,Spain,81,88,Arsenal
J. Butland,24,England,81,87,Stoke City
S. Zaza,26,Italy,81,82,Valencia CF
T. Meunier,25,Belgium,81,84,Paris Saint-Germain
Felipe Anderson,24,Brazil,81,86,Lazio
Rafinha,24,Brazil,81,86,FC Barcelona
Nacho Fernández,27,Spain,81,83,Real Madrid CF
J. Cillessen,28,Netherlands,81,83,FC Barcelona
Sergi Roberto,25,Spain,81,86,FC Barcelona
W. Ben Yedder,26,France,81,82,Sevilla FC
Lucas Pérez,28,Spain,81,81,RC Deportivo de La Coruña
R. Barkley,23,England,81,86,Everton
C. Bakambu,26,DR Congo,81,84,Villarreal CF
W. Zaha,24,Ivory Coast,81,84,Crystal Palace
Bartra,26,Spain,81,83,Borussia Dortmund
S. Aurier,24,Ivory Coast,81,85,Tottenham Hotspur
S. Coates,26,Uruguay,81,83,Sporting CP
G. Krychowiak,27,Poland,81,83,West Bromwich Albion
K. Kampl,26,Slovenia,81,83,RB Leipzig
D. Lovren,27,Croatia,81,83,Liverpool
A. Yarmolenko,27,Ukraine,81,81,Borussia Dortmund
Y. Belhanda,27,Morocco,81,81,Galatasaray SK
Mário Fernandes,26,Russia,81,82,CSKA Moscow
R. Rodríguez,24,Switzerland,81,84,Milan
J. Corona,24,Mexico,81,85,FC Porto
Mario Gaspar,26,Spain,81,84,Villarreal CF
Marcos Alonso,26,Spain,81,83,Chelsea
M. Götze,25,Germany,81,85,Borussia Dortmund
L. Hrádecký,27,Finland,81,83,Eintracht Frankfurt
Illarramendi,27,Spain,81,81,Real Sociedad
De Marcos,28,Spain,81,81,Athletic Club de Bilbao
C. Smalling,27,England,81,82,Manchester United
Iturraspe,28,Spain,81,81,Athletic Club de Bilbao
J. Wilshere,25,England,81,84,Arsenal
S. Rudy,27,Germany,81,82,FC Bayern Munich
M. Lanzini,24,Argentina,81,87,West Ham United
R. Boudebouz,27,Algeria,81,82,Real Betis Balompié
Camacho,27,Spain,81,84,VfL Wolfsburg
Paulinho,28,Brazil,81,81,FC Barcelona
N. Kalinić,29,Croatia,81,81,Milan
Giuliano,27,Brazil,81,82,Fenerbahçe SK
C. Benteke,26,Belgium,81,83,Crystal Palace
D. Perotti,28,Argentina,81,81,Roma
M. Parolo,32,Italy,81,81,Lazio
K. Mitroglou,29,Greece,81,81,Olympique de Marseille
M. Sakho,27,France,81,82,Crystal Palace
A. Rami,31,France,81,81,Olympique de Marseille
S. Jovetić,27,Montenegro,81,82,AS Monaco
S. Coleman,28,Republic of Ireland,81,81,Everton
S. Kjær,28,Denmark,81,82,Sevilla FC
Adán,30,Spain,81,81,Real Betis Balompié
M. Valbuena,32,France,81,81,Fenerbahçe SK
S. Mignolet,29,Belgium,81,81,Liverpool
D. Astori,30,Italy,81,81,Fiorentina
K. Mirallas,29,Belgium,81,81,Everton
Raúl García,30,Spain,81,81,Athletic Club de Bilbao
M. Škrtel,32,Slovakia,81,81,Fenerbahçe SK
T. Heaton,31,England,81,81,Burnley
H. Ben Arfa,30,France,81,81,Paris Saint-Germain
Dante,33,Brazil,81,81,OGC Nice
A. Gignac,31,France,81,81,Tigres U.A.N.L.
Gabi,33,Spain,81,81,Atlético Madrid
G. Rodríguez,33,Argentina,81,81,San Lorenzo de Almagro
D. Srna,35,Croatia,81,81,Shakhtar Donetsk
B. Schweinsteiger,32,Germany,81,81,Chicago Fire Soccer Club
C. Carrasso,35,France,81,81,Galatasaray SK
Moyá,33,Spain,81,81,Atlético Madrid
W. Rooney,31,England,81,81,Everton
P. Mertesacker,32,Germany,81,81,Arsenal
T. Motta,34,Italy,81,81,Paris Saint-Germain
Fernando Torres,33,Spain,81,81,Atlético Madrid
S. Eto'o,36,Cameroon,81,81,Antalyaspor
M. Rashford,19,England,80,89,Manchester United
S. Milinković-Savić,22,Serbia,80,86,Lazio
Y. Tielemans,20,Belgium,80,90,AS Monaco
Jemerson,24,Brazil,80,86,AS Monaco
N. Bentaleb,22,Algeria,80,85,FC Schalke 04
Alisson,24,Brazil,80,84,Roma
Alex Telles,24,Brazil,80,84,FC Porto
J. Brandt,21,Germany,80,88,Bayer 04 Leverkusen
K. Demirbay,23,Germany,80,84,TSG 1899 Hoffenheim
D. Rugani,22,Italy,80,88,Juventus
Samu Castillejo,22,Spain,80,85,Villarreal CF
P. Zieliński,23,Poland,80,87,Napoli
Ricardo Pereira,23,Portugal,80,86,FC Porto
Grimaldo,21,Spain,80,87,SL Benfica
Fred,24,Brazil,80,85,Shakhtar Donetsk
J. Hector,27,Germany,80,81,1. FC Köln
E. Can,23,Germany,80,85,Liverpool
S. Kolašinac,24,Bosnia Herzegovina,80,83,Arsenal
Arrizabalaga,22,Spain,80,87,Athletic Club de Bilbao
A. Pléa,24,France,80,86,OGC Nice
T. Stepanenko,27,Ukraine,80,81,Shakhtar Donetsk
O. Shatov,26,Russia,80,80,Zenit St. Petersburg
Leo Baptistao,24,Brazil,80,83,RCD Espanyol
M. Nastasić,24,Serbia,80,84,FC Schalke 04
Denis Suárez,23,Spain,80,87,FC Barcelona
M. Batshuayi,23,Belgium,80,85,Chelsea
J. Brooks,24,United States,80,85,VfL Wolfsburg
Eric Botteghin,29,Brazil,80,80,Feyenoord
L. Karius,24,Germany,80,84,Liverpool
T. Hazard,24,Belgium,80,84,Borussia Mönchengladbach
V. Germain,27,France,80,80,Olympique de Marseille
L. Kurzawa,24,France,80,85,Paris Saint-Germain
J. Iličić,29,Slovenia,80,80,Atalanta
K. Volland,24,Germany,80,83,Bayer 04 Leverkusen
Allan,26,Brazil,80,82,Napoli
P. Hernández,30,Chile,80,80,RC Celta de Vigo
D. Tadić,28,Serbia,80,80,Southampton
L. Muriel,26,Colombia,80,83,Sevilla FC
Pablo Sarabia,25,Spain,80,83,Sevilla FC
A. Oxlade-Chamberlain,23,England,80,85,Liverpool
J. Guilavogui,26,France,80,82,VfL Wolfsburg
O. Özyakup,24,Turkey,80,85,Beşiktaş JK
Y. Rakitskyi,27,Ukraine,80,82,Shakhtar Donetsk
Sergi Enrich,27,Spain,80,81,SD Eibar
Neto,27,Brazil,80,80,Valencia CF
Hugo Mallo,26,Spain,80,83,RC Celta de Vigo
D. Didavi,27,Germany,80,81,VfL Wolfsburg
R. Soriano,26,Italy,80,81,Villarreal CF
A. Schürrle,26,Germany,80,81,Borussia Dortmund
M. Gonalons,28,France,80,80,Roma
R. Pereyra,26,Argentina,80,83,Watford
K. Vogt,25,Germany,80,82,TSG 1899 Hoffenheim
F. Orellana,31,Chile,80,80,Valencia CF
Maicon,28,Brazil,80,80,Galatasaray SK
E. Salvio,26,Argentina,80,80,SL Benfica
D. Blind,27,Netherlands,80,81,Manchester United
S. El Shaarawy,24,Italy,80,83,Roma
M. Antonio,27,England,80,81,West Ham United
Iago Falqué,27,Spain,80,80,Torino
S. Rondón,27,Venezuela,80,80,West Bromwich Albion
Daniel Carriço,28,Portugal,80,81,Sevilla FC
M. Schmelzer,29,Germany,80,80,Borussia Dortmund
J. McCarthy,26,Republic of Ireland,80,83,Everton
A. Dzagoev,27,Russia,80,81,CSKA Moscow
Ganso,27,Brazil,80,81,Sevilla FC
F. Smolov,27,Russia,80,81,FC Krasnodar
D. Welbeck,26,England,80,81,Arsenal
Luiz Gustavo,29,Brazil,80,80,Olympique de Marseille
Mikel San José,28,Spain,80,80,Athletic Club de Bilbao
M. Darmian,27,Italy,80,81,Manchester United
R. Thomas,29,France,80,80,Angers SCO
I. Traoré,29,Guinea,80,80,Borussia Mönchengladbach
Sidnei,27,Brazil,80,82,RC Deportivo de La Coruña
J. Lens,29,Netherlands,80,80,Beşiktaş JK
Eder,30,Italy,80,80,Inter
Kiko Casilla,30,Spain,80,80,Real Madrid CF
Nacho Monreal,31,Spain,80,80,Arsenal
S. Bender,28,Germany,80,81,Bayer 04 Leverkusen
M. Díaz,30,Chile,80,80,U.N.A.M.
A. Fernández,31,Argentina,80,80,Atlético Madrid
M. Berg,30,Sweden,80,80,
I. Piatti,32,Argentina,80,80,Montreal Impact
V. Birsa,30,Slovenia,80,80,Chievo Verona
Pedro León,30,Spain,80,80,SD Eibar
K. Boateng,30,Ghana,80,80,Eintracht Frankfurt
Marcano,30,Spain,80,80,FC Porto
H. Moreno,29,Mexico,80,80,Roma
S. Romero,30,Argentina,80,80,Manchester United
A. Candreva,30,Italy,80,80,Inter
D. Criscito,30,Italy,80,80,Zenit St. Petersburg
D. Wass,28,Denmark,80,80,RC Celta de Vigo
Coke,30,Spain,80,80,FC Schalke 04
A. Guardado,30,Mexico,80,80,Real Betis Balompié
J. dos Santos,27,Mexico,80,81,LA Galaxy
E. Lamela,25,Argentina,80,83,Tottenham Hotspur
R. Bertrand,27,England,80,80,Southampton
Renato Augusto,29,Brazil,80,80,
Jardel,31,Brazil,80,80,SL Benfica
V. Denisov,30,Uzbekistan,80,80,Lokomotiv Moscow
D. Basta,32,Serbia,80,80,Lazio
G. Cabral,31,Argentina,80,80,RC Celta de Vigo
G. Paletta,31,Italy,80,80,Milan
T. Walcott,28,England,80,80,Arsenal
L. Fabiański,32,Poland,80,80,Swansea City
B. Foster,34,England,80,80,West Bromwich Albion
V. Ibišević,32,Bosnia Herzegovina,80,80,Hertha BSC Berlin
K. El Ahmadi,32,Morocco,80,80,Feyenoord
S. Kalou,31,Ivory Coast,80,80,Hertha BSC Berlin
Manuel Fernandes,31,Portugal,80,80,Lokomotiv Moscow
A. Granqvist,32,Sweden,80,80,FC Krasnodar
L. Podolski,32,Germany,80,80,Vissel Kobe
Javi Fuego,33,Spain,80,80,RCD Espanyol
F. Belluschi,33,Argentina,80,80,San Lorenzo de Almagro
A. Mirante,33,Italy,80,80,Bologna
V. Enyeama,34,Nigeria,80,80,LOSC Lille
F. Marchetti,34,Italy,80,80,Lazio
Kaká,35,Brazil,80,80,Orlando City Soccer Club
J. Milner,31,England,80,80,Liverpool
A. Hutchinson,34,Canada,80,80,Beşiktaş JK
M. Topal,31,Turkey,80,80,Fenerbahçe SK
J. Mathieu,33,France,80,80,Sporting CP
C. Kameni,33,Cameroon,80,80,Fenerbahçe SK
P. Jagielka,34,England,80,80,Everton
P. Evra,36,France,80,80,Olympique de Marseille
J. Defoe,34,England,80,80,Bournemouth
Júlio César,37,Brazil,80,80,SL Benfica
M. Carrick,35,England,80,80,Manchester United
M. Almirón,23,Paraguay,79,83,Atlanta United FC
Oyarzabal,20,Spain,79,86,Real Sociedad
Soares,26,Brazil,79,81,FC Porto
M. Campaña,28,Uruguay,79,82,Independiente
F. Andone,24,Romania,79,84,RC Deportivo de La Coruña
M. Acuña,25,Argentina,79,82,Sporting CP
V. Lindelöf,22,Sweden,79,86,Manchester United
Y. Cardinale,23,France,79,85,OGC Nice
C. Lenglet,22,France,79,84,Sevilla FC
M. Dahoud,21,Germany,79,87,Borussia Dortmund
D. Zappacosta,25,Italy,79,83,Chelsea
N. Maksimović,25,Serbia,79,83,Napoli
E. Rigoni,24,Argentina,79,85,Zenit St. Petersburg
I. Marcone,27,Argentina,79,82,Club Atlético Lanús
L. López,27,Argentina,79,80,SL Benfica
A. Correa,22,Argentina,79,87,Atlético Madrid
K. Coman,21,France,79,86,FC Bayern Munich
S. Kritsyuk,26,Russia,79,82,FC Krasnodar
W. Cyprien,22,France,79,87,OGC Nice
Diego Llorente,23,Spain,79,87,Real Sociedad
Anderson Talisca,23,Brazil,79,84,Beşiktaş JK
L. Dendoncker,22,Belgium,79,86,RSC Anderlecht
M. Meyer,21,Germany,79,86,FC Schalke 04
Gayà,22,Spain,79,84,Valencia CF
S. Boufal,23,Morocco,79,84,Southampton
M. Benassi,22,Italy,79,86,Fiorentina
N. Tagliafico,24,Argentina,79,84,Independiente
